TabID,Provenience
P100636,Umma (mod. Tell Jokha)
P100637,Umma (mod. Tell Jokha)
P100638,Umma (mod. Tell Jokha)
P100639,Umma (mod. Tell Jokha)
P100640,Umma (mod. Tell Jokha)
P100641,Puzriš-Dagan (mod. Drehem) ?
P100642,Umma (mod. Tell Jokha)
P100643,Puzriš-Dagan (mod. Drehem) ?
P100644,Puzriš-Dagan (mod. Drehem) ?
P100645,Puzriš-Dagan (mod. Drehem) ?
P100646,Umma (mod. Tell Jokha)
P100647,Umma (mod. Tell Jokha) ?
P100648,Umma (mod. Tell Jokha)
P100649,Umma (mod. Tell Jokha)
P100650,Umma (mod. Tell Jokha)
P100651,uncertain (mod. uncertain)
P100652,Umma (mod. Tell Jokha)
P100653,Puzriš-Dagan (mod. Drehem) ?
P100654,uncertain (mod. uncertain)
P100655,Umma (mod. Tell Jokha)
P100656,Puzriš-Dagan (mod. Drehem) ?
P100657,Umma (mod. Tell Jokha)
P100658,Umma (mod. Tell Jokha)
P100659,Umma (mod. Tell Jokha)
P100660,Umma (mod. Tell Jokha)
P100661,Puzriš-Dagan (mod. Drehem) ?
P100662,Umma (mod. Tell Jokha)
P100663,Umma (mod. Tell Jokha)
P100664,Umma (mod. Tell Jokha)
P100665,Umma (mod. Tell Jokha)
P100666,Umma (mod. Tell Jokha)
P100667,Umma (mod. Tell Jokha)
P100668,Umma (mod. Tell Jokha)
P100669,Umma (mod. Tell Jokha)
P100670,Puzriš-Dagan (mod. Drehem) ?
P100671,Umma (mod. Tell Jokha)
P100672,Puzriš-Dagan (mod. Drehem) ?
P100673,Puzriš-Dagan (mod. Drehem) ?
P100674,Umma (mod. Tell Jokha)
P100675,Puzriš-Dagan (mod. Drehem) ?
P100676,Umma (mod. Tell Jokha)
P100677,Umma (mod. Tell Jokha)
P100678,Puzriš-Dagan (mod. Drehem) ?
P100679,Umma (mod. Tell Jokha)
P100680,Umma (mod. Tell Jokha)
P100681,Puzriš-Dagan (mod. Drehem) ?
P100682,Umma (mod. Tell Jokha)
P100683,Umma (mod. Tell Jokha)
P100684,Umma (mod. Tell Jokha)
P100685,Umma (mod. Tell Jokha)
P100686,Umma (mod. Tell Jokha)
P100687,Umma (mod. Tell Jokha)
P100688,Umma (mod. Tell Jokha)
P100689,Umma (mod. Tell Jokha)
P100690,Umma (mod. Tell Jokha)
P100691,Umma (mod. Tell Jokha)
P100692,uncertain (mod. uncertain)
P100693,Umma (mod. Tell Jokha)
P100694,Umma (mod. Tell Jokha)
P100695,Umma (mod. Tell Jokha)
P100696,Umma (mod. Tell Jokha)
P100697,Umma (mod. Tell Jokha)
P100698,Umma (mod. Tell Jokha)
P100699,Puzriš-Dagan (mod. Drehem) ?
P100700,Umma (mod. Tell Jokha)
P100701,Umma (mod. Tell Jokha)
