TabID,Provenience
P122345,Nippur (mod. Nuffar)
P122346,Nippur (mod. Nuffar)
P122347,Nippur (mod. Nuffar)
P122348,Nippur (mod. Nuffar)
P122349,Nippur (mod. Nuffar)
P122350,Nippur (mod. Nuffar)
P122351,Nippur (mod. Nuffar)
P122352,Nippur (mod. Nuffar)
P122353,Nippur (mod. Nuffar)
P122354,Nippur (mod. Nuffar)
P122355,Nippur (mod. Nuffar)
P122356,Nippur (mod. Nuffar)
P122357,Nippur (mod. Nuffar)
P122358,Nippur (mod. Nuffar)
P122359,Nippur (mod. Nuffar)
P122360,Nippur (mod. Nuffar)
P122361,Nippur (mod. Nuffar)
P122362,Nippur (mod. Nuffar)
P122363,Nippur (mod. Nuffar)
P122364,Nippur (mod. Nuffar)
P122365,Nippur (mod. Nuffar)
P122366,Nippur (mod. Nuffar)
P122367,Nippur (mod. Nuffar)
P122368,Nippur (mod. Nuffar)
P122369,Nippur (mod. Nuffar)
P122370,Nippur (mod. Nuffar)
P122371,Nippur (mod. Nuffar)
P122372,Nippur (mod. Nuffar)
P122373,Nippur (mod. Nuffar)
P122374,Nippur (mod. Nuffar)
P122375,Nippur (mod. Nuffar)
P122376,Nippur (mod. Nuffar)
P122377,Nippur (mod. Nuffar)
P122378,Nippur (mod. Nuffar)
P122379,Nippur (mod. Nuffar)
P122380,Nippur (mod. Nuffar)
P122381,Nippur (mod. Nuffar)
P122382,Nippur (mod. Nuffar)
P122383,Nippur (mod. Nuffar)
P122384,Nippur (mod. Nuffar)
P122385,Nippur (mod. Nuffar)
P122386,Nippur (mod. Nuffar)
P122387,Nippur (mod. Nuffar)
P122388,Nippur (mod. Nuffar)
P122389,Nippur (mod. Nuffar)
P122390,Nippur (mod. Nuffar)
P122391,Nippur (mod. Nuffar)
P122392,Nippur (mod. Nuffar)
P122393,Nippur (mod. Nuffar)
P122394,Nippur (mod. Nuffar)
P122395,Nippur (mod. Nuffar)
P122396,Nippur (mod. Nuffar)
P122397,Nippur (mod. Nuffar)
P122398,Nippur (mod. Nuffar)
P122399,Nippur (mod. Nuffar)
